source,target,
MobiES,Cross-Device Dragging,
MobiES,Augmenting existing practices,
MobiES,Creating technological infrastructure,
MobiES,Private,
MobiES,Public,
MobiES,Displays,
MobiES,Machine-readable data formats,
MobiES,Physical object identification,
MobiES,Sensors,
MobiES,Networking technologies,
The Conduit,Cross-Device Dragging,
The Conduit,Designing new types of interactions,
The Conduit,Creating engaging experiences,
The Conduit,Private,
The Conduit,Networking technologies,
The Conduit,Alternative forms of input,
Hyperdrag,Cross-Device Dragging,
Hyperdrag,Augmenting existing practices,
Hyperdrag,Creating technological infrastructure,Designing new types of interactions
Hyperdrag,Private,
Hyperdrag,Public,
Hyperdrag,Displays,
Hyperdrag,Multimedia,
Hyperdrag,Networking technologies,
Hyperdrag,Physical object identification,
Hyperdrag,Machine-readable data formats,
Cross-Device Drag-and-Drop,Cross-Device Dragging,
Cross-Device Drag-and-Drop,Augmenting existing practices,
Cross-Device Drag-and-Drop,Creating technological infrastructure,
Cross-Device Drag-and-Drop,Private,
Cross-Device Drag-and-Drop,Semi-private,
Cross-Device Drag-and-Drop,Displays,
Cross-Device Drag-and-Drop,Alternative forms of input,
Cross-Device Drag-and-Drop,Networking technologies,
Cross-Device Drag-and-Drop,Machine-readable data formats,
Portals,Cross-Device Portals,
Portals,Creating technological infrastructure,
Portals,Semi-private,
Portals,Public,
Portals,Displays,
Portals,Alternative forms of input,
Portals,Sensors,
Portals,Proxemics Theory,
Conductor,Cross-Device Portals,
Conductor,Creating engaging experiences,
Conductor,Designing new types of interactions,
Conductor,Private,
Conductor,Semi-private,
Conductor,Networking technologies,
Cross-Device Pinch-to-Zoom,Cross-Device Portals,
Cross-Device Pinch-to-Zoom,Creating technological infrastructure,
Cross-Device Pinch-to-Zoom,Semi-private,
Cross-Device Pinch-to-Zoom,Public,
Cross-Device Pinch-to-Zoom,Displays,
Cross-Device Pinch-to-Zoom,Alternative forms of input,
Cross-Device Pinch-to-Zoom,Sensors,
Cross-Device Pinch-to-Zoom,Proxemics Theory,
VisPorter,Cross-Device Portals,
VisPorter,Designing new types of interactions,
VisPorter,Private,
VisPorter,Semi-private,
VisPorter,Public,
VisPorter,Machine-readable data formats,
VisPorter,Physical object identification,
VisPorter,Networking technologies,
VisPorter,Displays,
VisPorter,Sensors,
Tilt-to-Preview,Cross-Device Portals,
Tilt-to-Preview,Creating technological infrastructure,
Tilt-to-Preview,Semi-private,
Tilt-to-Preview,Public,
Tilt-to-Preview,Displays,
Tilt-to-Preview,Alternative forms of input,
Tilt-to-Preview,Sensors,
Tilt-to-Preview,Proxemics Theory,
Face-to-Mirror the Full Screen,Cross-Device Portals,
Face-to-Mirror the Full Screen,Creating technological infrastructure,
Face-to-Mirror the Full Screen,Semi-private,
Face-to-Mirror the Full Screen,Public,
Face-to-Mirror the Full Screen,Displays,
Face-to-Mirror the Full Screen,Alternative forms of input,
Face-to-Mirror the Full Screen,Sensors,
Face-to-Mirror the Full Screen,Proxemics Theory,
MultiSpace,Cross-Device Portals,
MultiSpace,Creating technological infrastructure,
MultiSpace,Designing new types of interactions,
MultiSpace,Augmenting existing practices,
MultiSpace,Private,
MultiSpace,Public,
MultiSpace,Semi-private,
MultiSpace,Displays,
MultiSpace,Networking technologies,
ConnecTable,Display Grouping,
ConnecTable,Creating technological infrastructure,
ConnecTable,Designing new types of interactions,
ConnecTable,Private,
ConnecTable,Semi-private,
ConnecTable,Displays,
ConnecTable,Sensors,
ConnecTable,Networking technologies,
ConnecTable,Physical object identification,
Pinch,Display Grouping,
Pinch,Designing new types of interactions,
Pinch,Private,
Pinch,Displays,
Pinch,Networking technologies,
Codex,Display Grouping,
Codex,Creating engaging experiences,
Codex,Creating technological infrastructure,
Codex,Private,
Codex,Semi-private,
Codex,Displays,
Stitching,Display Grouping,
Stitching,Augmenting existing practices,
Stitching,Designing new types of interactions,
Stitching,Semi-private,
Stitching,Displays,
Stitching,Networking technologies,
Stitching,Alternative forms of input,
EasyGroups,Display Grouping,
EasyGroups,Creating engaging experiences,
EasyGroups,Private,
EasyGroups,Display Grouping,
EasyGroups,Alternative forms of input,
EasyGroups,Haptics,
EasyGroups,Physical object identification,
EasyGroups,Sensors,
Bumping,Display Grouping,
Bumping,Designing new types of interactions,
Bumping,Creating engaging experiences,
Bumping,Private,
Bumping,Semi-private,
Bumping,Displays,
Bumping,Networking technologies,
Bumping,Sensors,
PaperVideo,Display Grouping,
PaperVideo,Creating engaging experiences,
PaperVideo,Designing new types of interactions,
PaperVideo,Private,
PaperVideo,Public,
PaperVideo,Physical object identification,
PaperVideo,Machine-readable data formats,
PaperVideo,Multimedia,
PaperVideo,Alternative forms of input,
PaperVideo,Displays,
DisplayStacks,Display Grouping,
